City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
213,Londonderry,GB,54.9981,-7.3093,64.13,93,100,2.04,overcast clouds
214,Acas,PE,-10.4575,-77.3275,43.99,49,51,2.98,broken clouds
215,Margate,GB,51.3813,1.3862,64.31,88,100,1.99,overcast clouds
216,Lufilufi,WS,-13.8745,-171.5986,83.98,80,16,16.37,light rain
217,Monrovia,LR,6.3005,-10.7969,76.77,85,100,11.99,light rain
218,Alta Floresta,BR,-9.8756,-56.0861,81.88,32,12,4.09,few clouds
219,Hrusovany Nad Jevisovkou,CZ,48.8299,16.4027,70.95,81,30,3.4,scattered clouds
220,Ukiah,US,39.1502,-123.2078,104.52,19,1,3.0,clear sky
221,Maroon Town,JM,18.3446,-77.7954,82.4,80,85,4.32,light rain
222,Iqaluit,CA,63.7506,-68.5145,55.13,62,75,10.0,broken clouds
223,Hermiston,US,45.8404,-119.2895,92.64,20,1,5.75,clear sky
224,Grand Gaube,MU,-20.0064,57.6608,68.4,79,43,4.0,scattered clouds
225,Laguna,US,38.421,-121.4238,105.31,21,1,1.99,clear sky
226,Half Moon Bay,US,37.4636,-122.4286,99.75,59,1,1.99,clear sky
227,Uralets,RU,57.6614,59.6497,50.56,91,89,2.77,overcast clouds
228,Antsohihy,MG,-14.8796,47.9875,66.38,69,3,7.29,clear sky
229,Dhidhdhoo,MV,6.8833,73.1,81.77,80,100,14.52,overcast clouds
230,Airai,TL,-8.9266,125.4092,60.33,34,32,3.0,scattered clouds
231,Prince Albert,CA,53.2001,-105.7677,76.95,31,20,26.46,few clouds
232,Ariquemes,BR,-9.9133,-63.0408,80.91,38,3,1.14,clear sky
233,Neftekamsk,RU,56.092,54.2703,58.06,66,73,3.8,broken clouds
234,Santa Cruz Del Norte,CU,23.1539,-81.9236,90.21,70,6,10.56,clear sky
235,Shimoda,JP,34.6667,138.95,80.8,74,1,3.76,clear sky
236,Sur,OM,22.5667,59.5289,89.6,61,44,13.89,scattered clouds
237,Lexington,US,37.9887,-84.4777,85.89,48,1,1.01,clear sky
238,Ribeira Brava,PT,32.65,-17.0667,73.71,76,3,6.96,clear sky
239,Kalaleh,IR,37.3807,55.4916,81.0,69,0,3.0,clear sky
240,Angola,AO,-12.5,18.5,49.86,33,98,3.74,overcast clouds
241,Tezu,IN,27.9167,96.1667,75.61,97,87,1.92,overcast clouds
242,Itarema,BR,-2.9248,-39.9167,79.07,78,18,15.64,few clouds
243,Tautira,PF,-17.7333,-149.15,82.42,70,2,9.93,clear sky
244,Avera,US,33.194,-82.5271,90.37,58,89,6.04,overcast clouds
245,San Quintin,MX,30.4833,-115.95,75.18,68,54,11.1,broken clouds
246,Port Macquarie,AU,-31.4333,152.9167,54.9,64,43,8.88,scattered clouds
247,Talara,PE,-4.5772,-81.2719,65.98,84,42,20.31,scattered clouds
248,Taseyevo,RU,57.2169,94.8978,61.25,76,0,5.55,clear sky
249,Mana,GF,5.6592,-53.7767,78.1,88,75,10.33,broken clouds
250,Mwanza,TZ,-2.5167,32.9,69.94,52,2,13.33,clear sky
251,Linfen,CN,36.0889,111.5189,75.67,71,37,4.23,scattered clouds
252,Shahrud,IR,36.4182,54.9763,77.67,49,0,6.85,clear sky
253,Boende,CD,-0.2167,20.8667,76.77,65,98,2.73,overcast clouds
254,San Felipe,VE,10.3399,-68.7425,75.54,94,99,3.49,overcast clouds
255,Klaksvik,FO,62.2266,-6.589,50.92,91,63,16.71,broken clouds
256,Westport,US,41.1415,-73.3579,82.17,50,1,4.0,clear sky
257,Lompoc,US,34.6391,-120.4579,92.01,63,57,13.8,broken clouds
258,Katangli,RU,51.7102,143.2326,69.21,86,100,5.59,overcast clouds
259,Ryotsu,JP,38.0833,138.4333,80.56,77,8,4.59,clear sky
260,Lewiston,US,44.1003,-70.2148,68.92,92,75,4.61,broken clouds
261,Kavaratti,IN,10.5669,72.642,81.97,83,89,20.4,overcast clouds
262,Ogaminana,NG,7.5946,6.2248,71.91,93,99,4.61,overcast clouds
263,Sosnovo-Ozerskoye,RU,52.5249,111.5418,55.08,76,74,6.38,broken clouds
264,Codrington,AU,-38.2667,141.9667,47.52,91,100,15.35,light rain
265,Praia Da Vitoria,PT,38.7333,-27.0667,73.65,88,75,12.97,broken clouds
266,Esna,EG,25.2934,32.554,87.82,24,0,7.02,clear sky
267,Rio Grande,BR,-32.035,-52.0986,57.31,82,2,7.23,light rain
268,Marsh Harbour,BS,26.5412,-77.0636,82.13,72,100,1.52,overcast clouds
269,Otane,NZ,-39.8833,176.6333,52.39,74,4,4.56,clear sky
270,Bathsheba,BB,13.2167,-59.5167,83.01,78,20,11.5,few clouds
271,Yilan,TW,24.757,121.753,82.81,99,100,16.98,moderate rain
272,Salme,NP,28.0369,85.0942,66.49,90,84,1.48,broken clouds
273,Kandrian,PG,-6.2167,149.55,79.88,87,100,7.78,moderate rain
274,Pinega,RU,64.7001,43.3936,41.02,92,42,7.99,scattered clouds
275,Cayenne,GF,4.9333,-52.3333,82.09,82,0,5.01,clear sky
276,Statesboro,US,32.4488,-81.7832,89.74,62,40,0.0,scattered clouds
277,Karpathos,GR,35.507,27.2132,77.29,69,0,20.04,clear sky
278,Port Said,EG,31.2565,32.2841,80.58,65,20,13.8,few clouds
279,Tubajon,PH,10.3317,125.5619,83.23,72,95,19.13,overcast clouds
280,Beinamar,TD,8.6698,15.3813,70.02,94,38,4.52,scattered clouds
281,Black River,JM,18.0264,-77.8487,87.8,66,83,4.83,broken clouds
282,Owando,CG,-0.4819,15.8999,74.21,67,89,2.95,overcast clouds
283,Manavalakurichi,IN,8.1333,77.3,77.09,83,100,15.5,heavy intensity rain
284,Faanui,PF,-16.4833,-151.75,78.22,67,10,13.87,clear sky
285,Sao Felix Do Xingu,BR,-6.6447,-51.995,77.27,43,11,1.59,few clouds
286,Leh,IN,34.1667,77.5833,62.94,56,20,3.85,few clouds
287,Kyritz,DE,52.9421,12.397,60.94,87,0,3.11,clear sky
288,Bow Island,CA,49.8668,-111.3684,84.22,14,14,8.05,few clouds
289,Chapais,CA,49.7834,-74.8492,76.78,37,66,5.99,broken clouds
290,Chalons-En-Champagne,FR,48.9539,4.3672,73.98,81,99,10.02,overcast clouds
291,Sibu,MY,2.3,111.8167,77.31,94,20,0.0,few clouds
